Player1,Player2,Date,Location,Tournament,Series,Court,Surface,Round,Best of,GapRank,GapOdd,SumRank,SumOdd,Month,pred_nbgames,pred_nbsets,more,less,real,diff
Griekspoor T.,Ymer M.,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,17,"0,64",,,6,18.0,,"1,11","3,85",26.0,-8.0
Huesler M.,Cressy M.,2023-06-12,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,40,"1,44",,,6,21.0,,"1,22","2,92",21.0,0.0
Humbert U.,Kubler J.,2023-06-12,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,29,"1,1",,,6,19.0,,,,18.0,1.0
MCDonald M.,Ivashka I.,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,14,"0,47",,,6,22.0,,"1,74","1,71",19.0,3.0
Raonic M.,Kecmanovic M.,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,200,"0,93",,,6,26.0,,"2,13","1,45",19.0,7.0
Rinderknech A.,Popyrin A.,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,7,"0,76",,,6,17.0,,,"3,12",22.0,-5.0
Ruusuvuori E.,Nakashima B.,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,1,"0,2",,,6,18.0,,"1,15","3,48",27.0,-9.0
Barrère G.,Otte O.,2023-06-13,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,62,"0,4",,,6,21.0,,"1,72","1,72",19.0,2.0
Bonzi B.,Paul T.,2023-06-13,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,49,"1,68",,,6,20.0,,"1,38","2,3",19.0,1.0
Giron M.,Lehecka J.,2023-06-12,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,34,"0,61",,,6,25.0,,"2,1","1,46",29.0,-4.0
Kyrgios N.,Wu Y.,2023-06-13,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,28,"2,71",,,6,22.0,,"1,72","1,73",21.0,1.0
Moutet C.,Karatsev A.,2023-06-13,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,1,"0,69",,,6,20.0,,,"1,77",38.0,-18.0
O'Connell C.,Altmaier C.,2023-06-13,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,2,"0,23",,,6,26.0,,"2,13","1,45",16.0,10.0
Sonego L.,Berrettini M.,2023-06-12,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,28,"0,68",,,6,23.0,,"1,73","1,72",15.0,8.0
Zhang Z.,Struff J.,2023-06-13,Stuttgart,Mercedes Cup,ATP250,Outdoor,Grass,1st Round,3,43,"1,54",,,6,20.0,,"2,46","1,33",17.0,3.0
bublik,goffin,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,79,"0,23",,,6,19.0,,"1,13","3,6",24.0,-5.0
thompson,mpetshi perricard,2023-06-12,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,120,"2,64",,,6,21.0,,"1,45","2,13",23.0,-2.0
djere,berankis,2023-06-13,s-Hertogenbosch,Rosmalen Grass Court Championships,ATP250,Outdoor,Grass,1st Round,3,152,"0,23",,,6,25.0,,"1,99","1,52",18.0,7.0
