target,voting,adaboost,bagging,linearreg,decisiontree,randomforest,gradientboosting,sgd,voting_2
16.0,22.055853271484377,19.995550351288056,20.047202157974244,19.967559814453125,26.0,23.65,19.9448320272435,19.75844323669312,23.383495798905273
20.0,19.43062540690104,20.018298383865368,19.891632652282716,19.891876220703125,19.0,19.53,19.98184441346163,19.838552947948386,19.543495798905273
21.0,22.41744588216146,19.5797233622131,20.167746448516844,20.052337646484375,26.0,21.8,19.763993198994157,19.895388216457366,22.13537626198354
14.0,18.964754231770833,19.35731039874902,19.491277503967286,19.4942626953125,19.0,17.843333333333334,19.137391269727853,19.465832975500902,18.685354622652792
23.0,20.283402506510416,19.995550351288056,20.701297092437745,20.65020751953125,19.0,20.39,20.052513892406797,20.56065212285749,20.12266246557194
38.0,33.720141601562496,30.55323590814196,27.477214574813843,27.5604248046875,42.0,34.59,28.540610441148242,26.989971487550438,34.77102660800335
20.0,18.592948404947915,19.5797233622131,19.4168879032135,19.37884521484375,18.0,19.71,19.618088777363045,19.38049131333475,19.19204292865021
23.0,17.99095458984375,19.5797233622131,19.408744525909423,19.37286376953125,17.0,18.88,19.518104627666478,19.22366932801115,18.808709595316873
18.0,17.739160156249998,19.5797233622131,19.477907752990724,19.41748046875,16.0,19.154,19.272672000409624,19.33871430162096,18.112042928650208
19.0,22.298807779947918,19.995550351288056,20.789135885238647,20.89642333984375,25.0,21.22,20.209394447177537,20.53697477699385,21.983495798905277
19.0,20.310791015625,19.9404056816395,19.943265390396117,19.932373046875,19.0,20.26,20.308674367390985,19.79033779624374,21.366829132238607
18.0,18.20689493815104,19.189873417721518,17.43998990058899,17.420684814453125,19.0,19.96,18.969295854751703,17.568724332497087,19.406566630939622
21.0,19.98068644205729,19.995550351288056,20.12764377593994,20.142059326171875,19.0,19.487333333333332,19.982478264004154,20.140039406200753,19.607384687794163
25.0,20.79490966796875,19.995550351288056,19.782230710983278,19.78472900390625,21.0,19.96,19.961517579140125,19.759619018541315,20.71682913223861
21.0,18.82766316731771,19.5797233622131,20.37409911155701,20.282989501953125,17.0,19.1,19.700193289153486,20.059898720692853,18.43204292865021
23.0,22.298577880859373,19.5797233622131,20.154463863372804,20.095733642578125,26.0,20.96,20.038997677972315,19.995585385898654,22.008709595316873
17.0,20.41796875,19.5797233622131,19.226668691635133,19.25390625,23.0,20.42,19.256905108321774,19.222865510048834,20.698709595316874
23.0,21.680979410807293,19.995550351288056,20.075055646896363,20.042938232421875,22.0,21.56,19.817974787360033,19.975462495476574,21.883495798905273
20.0,18.810469563802084,19.5797233622131,19.65122971534729,19.63140869140625,19.0,17.91,19.5083230044993,19.487659767228244,18.948709595316874
18.0,18.421480305989583,19.41376701966717,18.872546243667603,18.86444091796875,19.0,18.99,19.081865297110355,18.704228781229535,19.030149296175175
22.0,18.88201904296875,19.995550351288056,19.635899782180786,19.64605712890625,18.0,19.83,19.77916862479899,19.54643922028021,19.363495798905273
17.0,18.646240234375,19.5797233622131,19.72510085105896,19.938720703125,17.0,18.765,19.626463746922592,19.90191846110977,18.258709595316876
25.0,21.3496826171875,28.721412374473598,24.695019578933717,24.6490478515625,17.0,23.45333333333333,23.300632157461425,24.508410727208634,22.51483498349835
19.0,29.625492350260416,29.163562934709446,26.982559394836425,27.07647705078125,33.0,29.38,26.67721556796723,26.686476421614618,30.471026608003353
18.0,19.80054931640625,19.995550351288056,19.89527282714844,20.00164794921875,20.0,20.25,20.163479621685703,19.992481441642518,20.08016246557194
20.0,20.63990681966146,19.995550351288056,20.153883838653563,20.119720458984375,23.0,20.5,19.9448320272435,19.96833675210904,21.356829132238605
15.0,18.214143880208333,19.983534577387488,19.23145408630371,19.242431640625,15.0,19.32,19.556893782665473,19.110774760336795,18.16016246557194
21.0,19.04714558919271,19.5797233622131,19.936766147613525,19.941436767578125,22.0,18.44,19.608307154195867,19.84585121265482,19.165376261983543
22.0,20.371209716796873,19.983534577387488,20.207730865478517,20.313629150390625,19.0,19.72,19.977657099337403,20.206277392481056,19.46682913223861
19.0,19.25250244140625,19.9404056816395,21.07461018562317,20.75750732421875,19.0,19.06,19.833394065762054,20.003276684725773,19.62016246557194
19.0,19.134515380859373,19.9404056816395,19.597828483581544,19.603546142578125,19.0,18.17,19.594979703431257,19.57290029904279,19.047384687794164
21.0,20.281803385416666,19.995550351288056,20.04622302055359,20.04541015625,21.0,19.470333333333333,19.893714196136877,19.936503928902923,20.23432913223861
20.0,17.806404622395835,19.5797233622131,18.776877403259277,18.8192138671875,18.0,18.41,19.320772940655257,18.808392753632184,17.538709595316874
17.0,18.93260498046875,19.220632530120483,18.224402809143065,18.19781494140625,20.0,18.51,19.06642236232783,18.201136635882307,19.21656663093962
14.0,18.58660888671875,19.983534577387488,19.789994716644287,19.75982666015625,17.0,20.165,19.71633014112989,19.571208076241327,19.015162465571944
18.0,20.368888346354165,19.995550351288056,19.621048545837404,19.7066650390625,21.0,20.7,19.77713249098865,19.539036048886928,20.03682913223861
22.0,20.357169596354165,19.995550351288056,20.564199876785278,20.6715087890625,23.0,21.15,20.193900312285486,20.489492856796026,21.413495798905274
16.0,19.458538818359376,19.995550351288056,19.940067768096924,19.975616455078125,19.0,19.44,20.05111161614436,19.8937298506543,19.396829132238608
19.0,19.621826171875,19.9404056816395,19.719700574874878,19.865478515625,20.0,18.5,19.73852249521135,19.739392930342298,18.178495798905274
19.0,18.242305501302084,19.995550351288056,19.455152654647826,19.52691650390625,17.0,20.63,19.733784701308192,19.4224851198068,19.19682913223861
22.0,18.559163411458332,19.995550351288056,19.706051301956176,19.677490234375,17.0,20.22,19.315718112741944,19.080522939023638,19.366829132238607
20.0,24.63792521158854,25.65233949945593,25.690472412109376,25.713775634765625,23.0,27.04,23.03071098709677,25.528175803290424,24.326256339326875
29.0,25.202964274088544,30.55323590814196,27.126600217819213,27.208892822265625,24.0,26.0,27.61593820467792,26.84100951916886,27.924359941336686
23.0,18.041019694010416,19.35731039874902,18.316648101806642,18.32305908203125,16.0,18.5,18.788036168537978,18.15952143360962,17.948687955986127
20.0,26.878641764322918,31.436110014475588,26.694299983978272,26.63592529296875,20.0,28.97,27.58026372295606,26.163926548765648,26.59368571058427
22.0,27.232755533854164,30.55323590814196,27.51427330970764,27.5982666015625,26.5,27.5125,28.586926076859502,27.199018724591035,27.55619327467002
16.0,20.111783854166667,19.5797233622131,19.688130712509157,19.7353515625,21.0,20.48,19.50439079226548,19.699238293638757,20.42204292865021
19.0,23.227921549479166,19.995550351288056,20.488393211364745,20.4837646484375,26.0,23.843333333333334,20.087353617635664,20.38768637221036,23.056829132238608
18.0,18.241857910156252,19.41376701966717,19.467321157455444,19.52557373046875,14.0,18.14,19.410862099177663,19.38251549198825,18.266815962841843
16.0,16.82686564127604,18.8148782996229,17.179628229141237,17.080596923828125,16.0,16.76,18.281669269103027,16.752806278800065,17.25584965958038
23.0,19.672810872395832,19.995550351288056,20.09702248573303,20.0184326171875,19.0,19.93,20.023563972405444,19.824309923150338,19.663495798905274
19.0,20.38323974609375,19.995550351288056,19.12394380569458,19.14971923828125,20.0,18.51,19.366845063838085,19.17085855759237,19.412384687794162
22.0,20.37098388671875,19.995550351288056,19.668494606018065,19.71295166015625,22.0,18.585,19.827338952347137,19.690595841749584,20.313495798905276
23.0,20.807965087890626,19.80455755156354,18.992869806289672,19.023895263671875,23.0,20.44,19.586730389841147,18.92909937473351,19.128740310077518
18.0,21.688627115885414,19.995550351288056,20.445389175415038,20.46588134765625,22.0,21.624000000000002,20.209394447177537,20.35789938919154,21.29816246557194
18.0,21.61046549479167,19.995550351288056,20.501812076568605,20.431396484375,23.0,20.21,20.124622029583865,20.308626582717842,21.08016246557194
17.0,18.03841349283854,19.35731039874902,18.688685750961305,18.715240478515625,17.0,17.835,18.857723478998835,18.71914234602847,17.98202128931946
20.0,21.574957275390627,19.5797233622131,19.55902557373047,19.524871826171875,26.0,17.414,19.501694163349715,19.413820021114933,20.915376261983543
21.0,19.267525227864585,19.80455755156354,19.193366861343385,19.20257568359375,21.0,19.75,19.565929211624447,19.180376150482786,20.25096253229974
18.0,24.72258097330729,27.044574630667345,26.890767192840578,26.967742919921875,23.0,23.2,26.07065225146181,26.671826017761898,24.280112761276126
19.0,18.1466064453125,19.5797233622131,19.329360151290892,19.4398193359375,17.0,18.35,19.32564791928538,19.296966658511618,18.222042928650207
22.0,20.701108805338542,19.995550351288056,20.569338655471803,20.503326416015625,21.0,19.95,20.069197024908938,20.308412730361415,20.220162465571942
25.0,25.52038370768229,30.55323590814196,26.015511512756348,25.961151123046875,21.0,25.6,25.76655724088949,25.642223166422248,25.653685710584273
41.0,23.471744791666666,31.436110014475588,26.6664249420166,26.615234375,20.0,26.62,27.799295884042365,26.317813580674706,26.730352377250938
24.0,26.631418863932293,29.163562934709446,26.813441610336305,26.894256591796875,25.0,28.53,27.045548226031308,26.518328985752216,25.807693274670015
18.0,22.85521240234375,27.188174807197942,24.931881999969484,24.96563720703125,16.0,22.69,22.592688332377843,24.66413702578419,22.054034117104653
21.0,19.51927490234375,19.220632530120483,18.773867797851562,18.95782470703125,16.0,19.98,19.200325936698547,18.7688913260424,17.949899964272955
19.0,21.2737548828125,19.995550351288056,20.359716415405273,20.4212646484375,22.0,20.503333333333334,20.163479621685703,20.335823673111854,20.531495798905272
22.0,20.8032958984375,19.995550351288056,19.913121891021728,20.0098876953125,20.0,20.96,19.63768135635745,19.978287018045876,20.41016246557194
31.0,24.795989990234375,31.436110014475588,27.343591499328614,27.387969970703125,21.0,26.81,28.2872714716046,26.85728095435261,25.88054888221555
23.0,19.676765950520835,19.995550351288056,20.46640028953552,20.4302978515625,16.0,19.715999999999998,20.069197024908938,20.217252465640986,18.424606910016383
29.0,36.06897989908854,30.55323590814196,27.124657583236694,27.206939697265625,45.0,33.96666666666667,27.61593820467792,26.844032112606765,35.636026608003355
21.0,22.986029052734377,19.995550351288056,20.752927780151367,20.758087158203125,26.0,22.17,20.280757176866775,20.657391992322708,22.616829132238607
21.0,19.585514322916666,19.983534577387488,19.9775607585907,19.95654296875,19.0,20.12,19.8544242153546,19.780429297308835,19.606829132238605
23.0,21.300830078125,19.995550351288056,20.296691751480104,20.302490234375,22.0,21.68919047619048,20.0850294495121,20.193632045474327,21.207940243349718
21.0,20.398807779947916,19.5797233622131,20.516428661346435,20.39642333984375,19.0,20.74,19.5808306944191,20.06102623220522,19.718709595316877
21.0,20.189078776041665,19.9404056816395,20.2247896194458,20.167236328125,19.0,19.14,19.833394065762054,20.084783889400438,20.053495798905274
22.0,19.632139078776042,19.5797233622131,19.318013525009157,19.296417236328125,20.0,19.953333333333333,19.54128674342148,19.188576239724718,19.768709595316874
15.0,18.01732177734375,19.9404056816395,19.35126452445984,19.45196533203125,15.0,19.34,19.677719291048696,19.33654123054982,18.76016246557194
27.0,23.62382609049479,31.436110014475588,26.710021924972533,26.671478271484375,22.0,23.355999999999998,27.602586984087356,26.39963039046727,25.467019043917606
