WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,FavRank,FavOdd,GapRank,GapOdd,TotalSets,TotalWgames,TotalLgames,TotalGames,SumOdd,SumRank,Month
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,81.0,272.0,332.25,90.5,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.33,3.0,0.0,0.0,191.0,1.67,2.0,12.0,2.0,14.0,4.33,353.0,1
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Dulko G.,Myskina A.,59.0,16.0,401.75,1000.0,6.0,1.0,6.0,7.0,6.0,2.0,2.0,1.0,Completed,3.75,1.22,1.0,1.0,43.0,2.53,3.0,18.0,10.0,28.0,4.97,75.0,1
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,18.0,180.0,951.0,152.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.16,4.5,0.0,0.0,162.0,3.34,2.0,13.0,9.0,22.0,5.66,198.0,1
1,Auckland,ASB Classic,2007-01-01,Tier 4,Outdoor,Hard,1st Round,3,Erakovic M.,Tu M.,162.0,90.0,171.0,312.0,6.0,3.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,2.5,1.5,1.0,1.0,72.0,1.0,3.0,17.0,14.0,31.0,4.0,252.0,1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,135.0,76.0,210.75,345.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.72,2.0,1.0,0.0,59.0,0.28,2.0,13.0,5.0,18.0,3.72,211.0,1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Suarez P.,Muller M.,178.0,34.0,155.75,545.0,3.0,6.0,6.0,1.0,6.0,1.0,2.0,1.0,Completed,1.57,2.25,1.0,0.0,144.0,0.6799999999999999,3.0,15.0,8.0,23.0,3.82,212.0,1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Granville L.,Oprandi R.,68.0,53.0,372.5,421.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.66,2.1,1.0,0.0,15.0,0.4400000000000001,2.0,12.0,7.0,19.0,3.76,121.0,1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,24.0,118.0,781.0,258.5,5.0,7.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,1.14,5.0,0.0,0.0,94.0,3.86,3.0,17.0,12.0,29.0,6.14,142.0,1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,1st Round,3,Jankovic J.,Schruff J.,12.0,82.0,1211.0,326.75,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.12,5.5,0.0,0.0,70.0,4.38,2.0,12.0,7.0,19.0,6.62,94.0,1
1,Auckland,ASB Classic,2007-01-02,Tier 4,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,70.0,59.0,365.5,401.75,6.0,3.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2.0,1.0,0.0,11.0,0.28,2.0,13.0,8.0,21.0,3.72,129.0,1
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Pin C.,Meusburger Y.,75.0,135.0,349.0,210.75,2.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.53,2.37,0.0,0.0,60.0,0.8400000000000001,3.0,14.0,12.0,26.0,3.9,210.0,1
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Jankovic J.,Laine E.,12.0,74.0,1211.0,349.75,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5.0,0.0,0.0,62.0,3.86,2.0,12.0,3.0,15.0,6.14,86.0,1
1,Auckland,ASB Classic,2007-01-03,Tier 4,Outdoor,Hard,2nd Round,3,Zvonareva V.,Granville L.,24.0,68.0,781.0,372.5,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.25,0.0,0.0,44.0,1.97,2.0,12.0,5.0,17.0,4.53,92.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Bremond S.,Benesova I.,40.0,58.0,521.0,402.25,0.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,1.72,2.0,0.0,0.0,18.0,0.28,3.0,12.0,12.0,24.0,3.72,98.0,12
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,7.0,49.0,2018.0,430.25,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.08,6.5,0.0,0.0,42.0,5.42,2.0,12.0,2.0,14.0,7.58,56.0,12
2,Gold Coast,Mondial Australian Women's Hardcourts,2006-12-31,Tier 3,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,184.0,26.0,146.5,716.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,5.0,1.14,1.0,1.0,158.0,3.86,2.0,13.0,10.0,23.0,6.14,210.0,12
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Peer S.,Shaughnessy M.,20.0,37.0,894.0,531.0,6.0,1.0,5.0,7.0,6.0,0.0,2.0,1.0,Completed,1.25,3.5,0.0,0.0,17.0,2.25,3.0,17.0,8.0,25.0,4.75,57.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Srebotnik K.,King V.,23.0,60.0,819.0,398.75,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.53,2.37,0.0,0.0,37.0,0.8400000000000001,2.0,12.0,7.0,19.0,3.9,83.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Garbin T.,Groenefeld A.L.,38.0,19.0,529.75,922.0,7.0,6.0,6.0,7.0,6.0,3.0,2.0,1.0,Completed,2.0,1.72,1.0,1.0,19.0,0.28,3.0,19.0,16.0,35.0,3.72,57.0,1
2,Gold Coast,Mondial Australian Women's Hardcourts,2007-01-01,Tier 3,Outdoor,Hard,1st Round,3,Kirilenko M.,Pennetta F.,30.0,28.0,637.0,692.0,6.0,1.0,6.0,2.0,,,2.0,0.0,Completed,2.37,1.53,1.0,1.0,2.0,0.8400000000000001,2.0,12.0,3.0,15.0,3.9,58.0,1
